"Year","Country","Registered","Senior","U20","Female","MaleRefs","FemaleRefs","IndoorRinks","OutdoorRinks","Population","WM","WMI","WMII","WMIII","WM20","WM20I","WM20II","WM20III","WM18","WM18I","WM18II","WM18III","OGM","WW","WWI","WWII","WWIII","WWIV","WWV","WW18","WW18I","WW18II","OGW"
2011,"Macau",106,28,63,15,0,0,2,0,573003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Malaysia",154,73,64,45,1,0,1,0,28728607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Mexico",1254,210,972,72,26,2,13,0,113724226,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Mongolia",1001,477,524,0,8,0,0,12,3133318,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,"Morocco",117,63,43,11,3,0,1,0,31968361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Namibia",438,104,215,119,47,10,3,2,2147585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Netherlands",2485,1162,1141,182,58,8,26,4,16847007,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,"New Zealand",1205,593,437,163,110,6,6,3,4290347,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2011,"Norway",6177,1968,3709,500,143,14,41,3,4691849,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2011,"Poland",2292,465,1451,376,75,1,82,7,38441588,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2011,"Portugal",116,48,50,18,5,2,1,0,10760305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Romania",994,171,756,67,50,5,8,15,21904551,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,"Russia",63580,2050,61000,530,230,5,340,2000,138739892,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2011,"Serbia",564,147,414,3,21,2,4,1,7310555,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Singapore",231,80,151,0,15,1,1,0,4740737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Slovakia",8280,2072,5896,312,327,16,47,21,5477038,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2011,"Slovenia",943,155,700,88,46,4,8,3,2000092,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"South Africa",385,133,200,52,8,2,4,0,49004031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2011,"Spain",760,200,468,92,35,0,18,0,46754784,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2011,"Sweden",62003,17875,41053,3075,2420,41,342,136,9088728,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2011,"Switzerland",26166,11219,13775,1172,1079,43,158,29,7639961,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2011,"Thailand",114,56,47,9,15,3,3,0,66720153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Turkey",790,310,320,160,75,10,2,0,78785548,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2011,"Ukraine",4500,901,3587,12,74,0,25,0,45134707,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,"United Arab Emirates",532,250,242,40,8,0,5,0,5148664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"United States",500579,132866,302104,65609,25051,1274,1800,0,313232044,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2012,"Andorra",56,23,24,9,0,0,1,0,85082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Argentina",966,690,130,146,25,4,0,1,42192494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Armenia",578,381,197,0,27,0,2,3,2970495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Australia",3721,2217,997,507,268,17,17,0,22015576,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2012,"Austria",11202,5897,4690,615,413,22,45,72,8219743,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,"Belarus",3937,1154,2747,36,128,0,28,3,9542883,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Belgium",1490,670,736,84,31,4,17,0,10438353,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,"Bosnia & Herzegovina",208,42,162,4,5,0,0,0,4622292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Bulgaria",330,100,203,27,30,3,3,5,7037935,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
