simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
1,True,1,True,270.0,329267.22592592594,177407.7887042349,72175.0,189461.0,302235.0,412753.5,902194.0
1,True,2,True,277.0,501243.5848375451,290602.04247207096,44017.0,293447.0,440171.0,674928.0,1467235.0
1,True,3,True,284.0,628371.4964788732,388076.58723844646,17541.0,368351.0,570067.5,859487.0,1754055.0
1,True,4,True,282.0,613864.9787234042,380317.59799407824,16382.0,360407.0,597948.0,819106.0,1638213.0
1,True,5,True,279.0,554002.4838709678,335674.23570599605,15009.0,315197.0,495310.0,720451.0,1500939.0
1,True,6,True,261.0,566263.2796934866,361528.4125995578,15174.0,364176.0,515916.0,804222.0,1517399.0
1,True,7,True,275.0,611587.0981818181,337489.8349925529,0.0,404995.0,583193.0,809991.0,1619981.0
1,True,8,True,270.0,613780.5666666667,360442.16053421603,0.0,399728.0,582937.0,866078.0,1665535.0
1,True,9,True,276.0,609867.3949275363,343761.6038202054,0.0,398477.0,564509.0,784501.75,1660322.0
1,True,10,True,283.0,582898.9929328621,308214.71898475423,15708.0,298443.0,549763.0,769669.0,1570753.0
2,True,1,True,270.0,335849.9,180193.07126219018,63154.0,182694.5,288702.0,442075.0,902194.0
2,True,2,True,276.0,498684.6702898551,274802.4820282312,13598.0,299152.0,448728.0,669691.5,1359780.0
2,True,3,True,274.0,557238.295620438,316410.79583059484,16020.0,304373.0,480590.0,752924.0,1601965.0
2,True,4,True,280.0,641934.6071428572,393713.59703136893,0.0,320644.75,596128.0,903225.0,1806450.0
2,True,5,True,280.0,582446.1857142857,373481.41458140704,16493.0,346358.0,527783.0,808168.0,1649322.0
2,True,6,True,288.0,572243.3229166666,341490.34215786756,16074.0,349608.5,514366.0,723327.0,1607394.0
2,True,7,True,276.0,587686.0471014492,311185.1283996036,15401.0,385020.0,554429.0,785441.0,1540081.0
2,True,8,True,270.0,581226.4074074074,341234.467022883,15601.0,374426.0,553837.5,776152.75,1560107.0
2,True,9,True,275.0,684540.48,369027.7503985394,17027.0,459724.0,664046.0,927962.5,1702683.0
2,True,10,True,267.0,559674.8876404495,284385.63972866506,14790.0,384527.0,517633.0,717291.0,1478951.0
3,True,1,True,273.0,343130.967032967,185241.29652294758,72175.0,207505.0,306746.0,433053.0,902194.0
3,True,2,True,272.0,451263.54411764705,261408.19573877222,12450.0,248998.0,423297.0,597596.0,1244991.0
3,True,3,True,270.0,526229.7703703704,303038.58786203974,0.0,323114.0,469984.0,690289.0,1468700.0
3,True,4,True,273.0,576329.989010989,319347.43515695736,15391.0,353984.0,538671.0,723358.0,1539060.0
3,True,5,True,276.0,593093.8115942029,356937.9188169598,0.0,354979.0,580875.0,806771.0,1613543.0
3,True,6,True,269.0,611533.7026022305,317054.7933322974,16404.0,426512.0,590556.0,787408.0,1640433.0
3,True,7,True,275.0,567867.6618181819,323466.520275506,15629.0,375093.0,515753.0,734557.0,1562887.0
3,True,8,True,276.0,592217.5434782609,357864.0993959196,16190.0,384507.5,566642.0,845916.5,1618978.0
3,True,9,True,274.0,569314.1386861313,306893.2272640396,0.0,405877.0,556202.0,766657.0,1503248.0
3,True,10,True,274.0,543407.9087591241,304905.8528535559,14880.0,357131.0,476174.0,684501.0,1488045.0
4,False,1,True,268.0,329704.62313432834,182122.46103161806,9022.0,198483.0,288702.0,415009.0,902194.0
4,False,2,True,271.0,468174.3210332103,230475.18946741533,24980.0,324745.0,437156.0,593283.5,1249018.0
4,False,3,True,269.0,496297.9182156134,283056.90474033635,14262.0,299497.0,470637.0,656040.0,1426174.0
4,False,4,True,273.0,543244.0512820513,327069.67451078823,15346.0,322270.0,475732.0,736617.0,1534620.0
4,False,5,True,274.0,628158.9890510949,354420.276473558,17046.0,409109.0,622187.0,852310.0,1704621.0
4,False,6,False,260.0,624301.5346153846,329325.885594716,15834.0,395860.0,570038.0,807554.0,1583440.0
5,True,1,True,269.0,309797.8550185874,177419.26760820506,72175.0,171417.0,270658.0,424031.0,902194.0
5,True,2,True,270.0,460960.8185185185,252864.01599086105,38946.0,275869.5,415427.0,558230.0,1298210.0
5,True,3,True,264.0,553616.8484848485,323477.0360510619,15893.0,333759.0,500639.5,746985.0,1589331.0
5,True,4,True,284.0,625910.2922535212,388025.09236893145,17565.0,351301.0,544517.0,843124.0,1756507.0
5,True,5,True,279.0,632965.394265233,365216.65286851896,33779.0,405350.0,574245.0,878258.0,1688957.0
5,True,6,True,281.0,611512.0427046263,365239.9094944087,16513.0,396313.0,577957.0,809140.0,1651306.0
5,True,7,True,284.0,567003.7007042253,344433.9769564258,15479.0,340540.0,510810.0,773955.0,1547910.0
5,True,8,True,288.0,579449.8680555555,324880.9480040288,15348.0,368358.0,537189.0,736716.0,1534826.0
5,True,9,True,279.0,598664.9856630825,337601.86881180445,15575.0,397165.5,607430.0,778756.0,1557512.0
5,True,10,True,275.0,605868.1236363637,344041.59902839345,16683.0,383710.0,600590.0,817470.0,1668306.0
6,True,1,True,271.0,326720.57564575644,196786.08394486713,63154.0,171417.0,279680.0,437564.0,902194.0
6,True,2,True,265.0,564890.0150943396,302140.16244664934,15445.0,339797.0,509695.0,741374.0,1544530.0
6,True,3,True,280.0,621274.8214285715,348345.7709867732,17720.0,372119.0,549319.0,784109.0,1771997.0
6,True,4,True,286.0,614438.6853146853,362154.09576038196,17094.0,358980.0,581206.0,854715.0,1709431.0
6,True,5,True,287.0,549650.818815331,338912.13176191796,15861.0,348934.0,491679.0,737519.0,1586063.0
6,True,6,True,284.0,560563.3485915493,341941.8666777879,0.0,325202.0,501516.0,740520.0,1567238.0
6,True,7,True,283.0,654907.7243816254,386778.0196320784,18564.0,371272.0,594035.0,844643.5,1856359.0
6,True,8,True,280.0,597042.8964285714,364046.44040107756,16684.0,333677.0,550567.0,850876.0,1668383.0
6,True,9,True,277.0,616496.7472924187,347444.4251317386,15878.0,444589.0,603370.0,841543.0,1587816.0
6,True,10,True,284.0,575032.2253521127,353513.96912868257,31424.0,392797.0,549915.0,769882.0,1571187.0
7,False,1,True,269.0,322341.33828996285,178359.10616073414,72175.0,180439.0,279680.0,396965.0,902194.0
7,False,2,True,261.0,463984.6743295019,232531.45914938804,25692.0,295460.0,436767.0,590920.0,1284608.0
7,False,3,True,271.0,520963.2878228782,293381.1091769578,0.0,323552.0,478294.0,717441.0,1406746.0
7,False,4,False,272.0,587875.5882352941,348183.6977188945,0.0,373785.0,529529.0,763145.0,1557438.0
8,True,1,True,272.0,344956.35294117645,193836.23360788857,72175.0,187205.5,293213.0,451097.0,902194.0
8,True,2,True,274.0,500597.09489051095,250893.2333507033,13326.0,319822.0,466407.0,652970.0,1332591.0
8,True,3,True,273.0,559867.6373626373,330445.1642959836,15731.0,346085.0,503397.0,739364.0,1573115.0
8,True,4,True,277.0,543703.9422382672,306223.20031813986,15406.0,354331.0,492982.0,739473.0,1540569.0
8,True,5,True,278.0,556117.7553956835,329094.2850870303,15193.0,364624.0,531744.0,698863.0,1519268.0
8,True,6,True,275.0,589744.0690909091,338141.8062011729,15627.0,367240.5,531327.0,804803.5,1562725.0
8,True,7,True,270.0,582454.7481481482,327414.43906669173,15725.0,393118.0,566089.0,786235.0,1572471.0
