simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
1,True,1,True,242.0,270534.21074380167,134394.7046803762,21026.0,168211.0,245308.0,334670.75,700881.0
1,True,2,True,239.0,304275.0041841004,143775.2503388973,7609.0,205450.0,273933.0,372854.0,760926.0
1,True,3,True,242.0,274987.85537190083,140490.20935229035,102991.0,171039.0,253800.0,338400.0,735652.0
1,True,4,True,242.0,300358.71074380167,143654.4017807548,14439.0,194929.0,274344.0,375419.0,721959.0
1,True,5,True,241.0,281310.0788381743,141475.16474793822,7196.0,172710.0,251868.0,345419.0,719624.0
1,True,6,True,239.0,300452.2175732218,136036.91440429518,21620.0,201789.0,273857.0,371147.5,720675.0
1,True,7,True,236.0,276367.97881355934,121615.54168326696,20521.0,184690.0,246253.0,336888.0,684036.0
1,True,8,True,236.0,274581.60169491527,125615.63711367594,6851.0,178138.0,246653.0,335722.0,685148.0
1,True,9,True,236.0,287210.0720338983,121802.1787587645,60676.0,193825.5,256187.0,345514.5,674175.0
1,True,10,True,235.0,279228.9489361702,121594.63488609542,25778.0,186893.0,244894.0,344785.5,644459.0
2,True,1,True,247.0,281402.1943319838,144251.99058674547,21026.0,168211.0,259326.0,350440.5,700881.0
2,True,2,True,246.0,312484.47967479675,148082.06042011615,30672.0,207035.0,291382.0,383397.0,766795.0
2,True,3,True,242.0,305047.20247933886,157259.58422454735,22536.0,187803.0,277948.0,398141.0,751210.0
2,True,4,True,239.0,291644.89539748954,138570.82009714952,21825.0,189154.0,261905.0,367394.5,727514.0
2,True,5,True,237.0,279348.5147679325,129045.74155785592,7046.0,183200.0,246615.0,338215.0,704615.0
2,True,6,True,236.0,308968.17372881353,127579.38515743213,85599.0,213999.0,285332.0,363798.0,713329.0
2,True,7,True,234.0,283094.3846153846,127631.99705378458,13815.0,188232.75,255582.0,350562.0,690762.0
2,True,8,True,236.0,300366.3728813559,117531.80685478178,54919.0,212810.0,288324.0,363837.0,686485.0
2,True,9,True,234.0,278829.0512820513,121528.32457383208,87551.0,181838.0,255919.0,346838.5,673472.0
