simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
1,True,1,True,257.0,353332.093385214,185441.0034034342,8964.0,215138.0,322708.0,457169.0,896410.0
1,True,2,True,251.0,453371.2430278885,250566.21576464913,23879.0,262671.0,405946.0,591009.5,1193959.0
1,True,3,True,264.0,590817.2045454546,313058.31048311683,43962.0,381001.0,542193.0,805963.0,1465387.0
1,True,4,True,257.0,524944.4474708171,325358.9859526773,14162.0,339897.0,481521.0,665631.0,1416237.0
1,True,5,True,257.0,577952.9455252918,321678.4917144152,0.0,411329.0,543542.0,734516.0,1469033.0
1,True,6,True,268.0,568413.2425373135,317511.60854998225,0.0,399856.75,533143.0,738475.25,1440927.0
1,True,7,True,265.0,593745.7509433962,297766.1401930643,14114.0,381077.0,522217.0,733927.0,1411398.0
1,True,8,True,263.0,533066.4790874525,294346.42036962305,13996.0,335901.0,475859.0,685797.0,1399586.0
1,True,9,True,273.0,594955.7435897436,333937.4134747058,14215.0,398026.0,554393.0,767621.0,1421521.0
1,True,10,True,265.0,601947.7660377359,332036.57673642907,15604.0,390091.0,561732.0,780183.0,1560366.0
2,True,1,True,248.0,336334.5362903226,183730.5823235371,26892.0,206174.0,295815.0,414590.0,896410.0
2,True,2,True,252.0,502064.0873015873,270874.85591898666,13663.0,314251.0,478208.0,655828.0,1366308.0
2,True,3,True,271.0,665383.3284132842,389935.96979670326,16124.0,419234.0,612726.0,822343.0,1612438.0
2,True,4,True,268.0,690900.7164179104,439930.6002662845,17490.0,314811.0,664601.0,944433.0,1748950.0
2,True,5,True,274.0,656474.1459854015,388347.9340362647,16842.0,341053.5,656843.0,854738.25,1684213.0
2,True,6,True,278.0,608272.6474820144,375743.32640222675,15623.0,312453.0,593662.0,859247.0,1562267.0
2,True,7,True,286.0,593912.8111888112,357240.473221511,15138.0,378440.0,552522.5,802293.0,1513761.0
2,True,8,True,258.0,583575.7364341086,352852.2675630214,15822.0,363907.0,569594.0,759458.0,1582204.0
2,True,9,True,264.0,654341.3484848485,411132.69425623113,16554.0,215208.0,670457.0,918774.25,1655449.0
2,True,10,True,257.0,671202.8210116732,374601.2390873219,0.0,472333.0,651493.0,912091.0,1628733.0
3,True,1,True,258.0,344284.0348837209,190802.61071691808,26892.0,206174.0,304779.0,430277.0,896410.0
3,True,2,True,262.0,575443.286259542,335203.5271271028,14168.0,340042.0,510063.0,750926.0,1416842.0
3,True,3,True,266.0,611382.1766917293,389130.48756416806,15702.0,376853.0,565279.0,812588.5,1570220.0
3,True,4,True,271.0,559460.3800738007,341136.5589741633,15031.0,338188.5,480980.0,744015.5,1503061.0
3,True,5,True,272.0,641245.4191176471,360166.8735763223,17388.0,382535.0,591191.0,852011.0,1738797.0
3,True,6,True,273.0,600124.8827838828,337905.681847664,14862.0,445848.0,579602.0,757941.0,1486158.0
3,True,7,True,257.0,605768.560311284,312856.644035347,15260.0,427280.0,564620.0,778260.0,1526000.0
3,True,8,True,264.0,560352.8068181818,309208.52951326134,14683.0,381763.0,513912.0,752513.75,1468319.0
3,True,9,True,265.0,563211.0150943396,309747.66006706574,28554.0,414031.0,528246.0,713846.0,1427692.0
3,True,10,True,273.0,537193.8058608059,300220.78179990593,13921.0,361937.0,501143.0,696032.0,1392064.0
4,True,1,True,251.0,338850.15537848603,176526.83110608358,17928.0,206174.0,295815.0,439241.0,896410.0
4,True,2,True,253.0,453315.05928853754,249575.5648397968,11691.0,268893.0,409185.0,584550.0,1169100.0
