simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
1,True,1,True,260.0,234627.76923076922,137375.6961017654,21162.0,134026.0,201040.0,289215.0,705403.0
1,True,2,True,256.0,268157.8203125,140312.52002457235,83045.0,164203.5,241587.0,339731.0,754959.0
1,True,3,True,259.0,265839.4208494208,142607.0304539571,83027.0,154733.0,241534.0,339658.0,754795.0
1,True,4,True,259.0,258227.69884169885,127794.71202857766,7216.0,165976.0,230923.0,324735.0,721633.0
1,True,5,True,260.0,275801.1192307692,125333.63184745958,28543.0,178397.0,249755.0,351441.0,713586.0
1,True,6,True,260.0,271349.0807692308,121861.2229351099,105668.0,183157.0,253602.0,324047.0,704451.0
1,True,7,True,260.0,266979.0230769231,121759.62653951405,14147.0,169770.0,247581.0,325392.0,707373.0
1,True,8,True,260.0,266405.6846153846,119205.62438727621,6970.0,167274.0,243942.0,348488.0,696976.0
1,True,9,True,256.0,265958.25390625,116783.73378612877,108448.0,174534.5,250787.0,320261.5,677803.0
1,True,10,True,260.0,267363.6076923077,113269.34733071348,6617.0,178667.0,258074.0,325901.25,661728.0
2,True,1,True,264.0,256857.35606060605,140110.3084681089,84648.0,146371.5,229256.0,338593.0,705403.0
2,True,2,True,260.0,261239.5923076923,129473.62084773825,89686.0,171898.0,239163.0,336323.0,747384.0
2,True,3,True,258.0,262458.2364341085,139346.76516488154,14930.0,156763.0,223947.0,335921.0,746491.0
2,True,4,True,260.0,254900.58846153846,132597.40677744837,29374.0,152375.25,223973.5,337796.0,734340.0
2,True,5,True,260.0,271208.4038461539,132214.45920583387,7136.0,176624.75,253340.0,344328.25,713634.0
2,True,6,True,260.0,261223.76153846155,129264.09695653798,21029.0,166483.5,231324.0,329462.0,700982.0
2,True,7,True,259.0,247808.15444015444,116036.89554846959,6812.0,163487.0,217983.0,320162.0,681196.0
2,True,8,True,260.0,262175.26923076925,121060.4550405065,82168.0,162625.25,239658.0,342369.0,684737.0
2,True,9,True,258.0,270129.61627906974,121695.64342465551,47554.0,176628.0,244562.0,332876.0,679339.0
2,True,10,True,259.0,253310.33590733592,121915.69205022135,72801.0,158840.0,225023.0,330916.0,661832.0
3,True,1,True,264.0,253624.2803030303,142689.6534799665,77594.0,141081.0,218675.0,333302.5,705403.0
3,True,2,True,260.0,256691.73076923078,135515.25268247552,81580.0,155744.0,226199.0,328174.0,741636.0
3,True,3,True,260.0,272306.8615384615,131776.25679551938,7626.0,173491.5,240219.0,350796.0,762600.0
3,True,4,True,260.0,263265.1115384615,133963.75213345874,88378.0,162027.0,235675.0,331418.0,736485.0
3,True,5,True,260.0,255769.0653846154,134795.96990595676,101295.0,150133.25,231531.0,320163.75,723534.0
3,True,6,True,256.0,270375.84375,128399.93300104767,56804.0,163313.0,248519.0,340827.0,710056.0
3,True,7,True,259.0,263165.1698841699,117082.21992639832,7003.0,175074.0,238101.0,329139.0,700296.0
3,True,8,True,260.0,276723.21153846156,121539.74402259794,7006.0,175158.0,259234.0,364329.0,700633.0
3,True,9,True,260.0,276487.31153846154,119469.45460253062,27574.0,193021.0,251617.0,344681.0,689362.0
3,True,10,True,257.0,261500.50972762646,116413.35059169657,6678.0,166962.0,233747.0,320567.0,667849.0
4,True,1,True,262.0,251441.0,143105.20099405156,56432.0,142844.5,225729.0,315667.5,705403.0
4,True,2,True,262.0,259792.3893129771,149582.13390204986,15469.0,146960.0,216572.0,348063.0,773473.0
4,True,3,True,262.0,286092.4961832061,145553.40079038203,22808.0,174865.0,262297.5,364936.0,760282.0
4,True,4,True,261.0,269513.5977011494,134454.94191430762,7394.0,177466.0,244016.0,340143.0,739441.0
4,True,5,True,259.0,275266.67181467183,118299.97243162025,122177.0,186859.0,258729.0,337784.0,718690.0
4,True,6,True,260.0,281081.95,128147.32561281034,107168.0,178613.0,250058.0,350082.0,714452.0
4,True,7,True,260.0,275329.07692307694,128441.22341472792,35250.0,176250.0,257324.0,352499.0,704999.0
4,True,8,True,259.0,254083.70656370657,113979.64403841092,94222.0,164889.0,222096.0,323049.0,673018.0
4,True,9,True,257.0,278352.0505836576,115498.18054181669,128736.0,189716.0,250696.0,338779.0,677557.0
4,True,10,True,256.0,263029.48828125,112563.9273661941,112039.0,171354.0,240554.5,329527.0,659054.0
5,True,1,True,264.0,262655.5416666667,141798.48750516033,77594.0,148135.0,236310.0,345647.0,705403.0
5,True,2,True,257.0,281646.53307392995,139938.82254226488,15251.0,175391.0,244022.0,358408.0,762570.0
5,True,3,True,264.0,287543.4128787879,135015.5730855228,74277.0,178266.0,267399.0,350960.75,742774.0
5,True,4,True,259.0,253319.138996139,126005.02982631682,93502.0,151042.0,222966.0,334449.5,719246.0
5,True,5,True,259.0,252251.16216216216,127177.41832456847,85580.0,156896.0,228213.0,306661.0,713165.0
5,True,6,True,259.0,257230.27413127414,128219.91102779222,92108.0,155876.0,226728.0,329464.5,708525.0
5,True,7,True,260.0,269906.7730769231,127739.27611185805,90522.0,167118.0,236751.0,342940.75,696326.0
5,True,8,True,259.0,284813.2393822394,120209.90957238026,13912.0,187808.0,264322.0,368659.0,695583.0
