simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
242,True,3,True,244.0,644293.844262295,343513.86860899284,27677.0,439379.25,608903.0,844161.0,1383871.0
242,True,4,True,231.0,584235.7186147186,295966.91084184387,12828.0,429722.5,564411.0,756824.0,1282753.0
242,True,5,True,233.0,555800.3519313305,303026.4927872697,11938.0,382010.0,501389.0,716269.0,1193782.0
242,True,6,True,226.0,541996.4115044248,304370.88113957824,23762.0,368305.0,487113.0,700968.0,1188082.0
242,True,7,True,238.0,618081.1134453781,333553.5390913595,13278.0,428205.25,590856.5,853090.75,1327767.0
242,True,8,True,240.0,612307.8583333333,327060.78150216717,12510.0,437847.0,569201.0,788124.0,1250991.0
242,True,9,True,232.0,598298.051724138,287548.72874333966,12525.0,463435.0,588688.0,738992.0,1252528.0
242,True,10,True,238.0,621972.4327731093,332648.5340999247,13807.0,445289.75,586816.0,814638.0,1380743.0
243,True,1,True,232.0,408426.0905172414,206651.2878974943,8851.0,256668.0,371727.0,495635.0,885063.0
243,True,2,True,255.0,586120.0588235294,345038.4468142309,12925.0,374815.0,504061.0,730243.0,1292465.0
243,True,3,True,248.0,617518.7379032258,321225.29158727184,13902.0,330173.25,618640.0,823694.5,1390202.0
243,True,4,True,239.0,574627.4937238494,311015.9313937226,12301.0,393619.0,516624.0,719584.0,1230058.0
243,True,5,True,228.0,504915.6140350877,264323.66526345786,11563.0,358452.0,450955.0,615727.75,1156295.0
243,True,6,True,239.0,617767.1380753138,294526.0502823868,12707.0,444756.0,571829.0,787854.0,1270732.0
243,True,7,True,243.0,557877.0534979424,298685.356719388,11878.0,386036.5,522634.0,700805.0,1187805.0
243,True,8,True,230.0,555928.6,295909.569074973,12008.0,396271.0,522358.0,708485.0,1200823.0
243,True,9,True,243.0,641154.0823045267,369564.68059316365,13583.0,421082.0,570499.0,814998.0,1358330.0
243,True,10,True,250.0,653419.58,332446.5005609421,13694.0,479288.0,623074.0,807942.0,1369393.0
244,True,1,True,231.0,419887.70995670994,218358.29106897532,17701.0,256668.0,362876.0,531038.0,885063.0
244,True,2,True,247.0,511957.36437246966,279506.92285887554,11011.0,319327.0,440451.0,649665.0,1101128.0
244,True,3,True,234.0,583807.6239316239,323642.8392635474,13724.0,439175.0,569556.0,754833.0,1372423.0
244,True,4,True,240.0,592495.025,341277.1028331918,14175.0,382712.0,538632.0,793773.0,1417452.0
244,True,5,True,239.0,574916.4644351464,299876.5824905716,12998.0,402947.0,545929.0,708407.5,1299830.0
244,True,6,True,241.0,643023.8257261411,363827.3930994195,14193.0,425777.0,610281.0,837362.0,1419258.0
244,True,7,True,231.0,589175.1082251082,294516.7878268483,12711.0,425827.5,533873.0,743608.5,1271126.0
244,True,8,True,240.0,566910.3875,319702.5575364696,12161.0,389156.0,510767.0,744868.25,1216111.0
244,True,9,True,246.0,550598.2195121951,286325.1332371684,11814.0,389861.0,496187.0,705884.5,1181397.0
244,True,10,True,227.0,602452.5374449339,303407.2359754436,12078.0,422722.0,567656.0,779017.0,1207778.0
245,False,1,True,231.0,385289.8008658009,216200.28154559596,8851.0,238967.0,327473.0,469084.0,885063.0
245,False,2,True,240.0,594187.9291666667,301034.6485507237,12757.0,382696.0,548530.0,739878.0,1275652.0
245,False,3,False,263.0,590854.1178707224,340693.2337943579,13074.0,352991.0,509876.0,797499.0,1307376.0
246,False,1,True,224.0,407563.62946428574,201371.07962366223,17701.0,265519.0,358450.5,469084.0,885063.0
246,False,2,True,223.0,547683.0762331838,293511.32767120586,12237.0,367098.0,501700.0,721958.0,1223658.0
246,False,3,False,227.0,643582.7136563876,358494.90528108954,13862.0,429727.0,568349.0,817867.0,1386216.0
247,True,1,True,228.0,397036.19736842107,204142.206843975,8851.0,272157.25,354025.0,469084.0,885063.0
247,True,2,True,243.0,623011.0905349795,348682.37918707915,13307.0,385898.0,572193.0,825023.0,1330682.0
247,True,3,True,238.0,553343.2731092437,303655.1353225016,24799.0,371987.0,483583.0,691275.25,1239956.0
247,True,4,True,249.0,587176.4578313254,312124.11328875175,12413.0,397200.0,508913.0,719926.0,1241251.0
247,True,5,True,252.0,568586.8293650794,324244.5004677801,12266.0,367992.0,515189.0,735985.0,1226641.0
247,True,6,True,237.0,593278.9957805907,317819.42748797446,26673.0,413433.0,586808.0,720173.0,1333654.0
247,True,7,True,253.0,596017.8932806324,342306.16743344936,13372.0,401151.0,561611.0,762186.0,1337169.0
247,True,8,True,237.0,562262.911392405,305801.95829025906,12401.0,384417.0,508423.0,756434.0,1240055.0
247,True,9,True,237.0,554689.4725738397,297566.2864020632,11780.0,388730.0,506527.0,706782.0,1177970.0
247,True,10,True,218.0,559338.3807339449,280388.0915074429,0.0,401541.25,519287.0,700433.0,1207644.0
248,False,1,True,231.0,411841.683982684,210021.89007732473,17701.0,274370.0,380577.0,513337.0,885063.0
248,False,2,True,244.0,516413.5532786885,260956.29714609068,10477.0,324782.0,450504.0,680994.0,1047684.0
248,False,3,True,224.0,530275.375,278812.5060434618,12323.0,357368.0,505244.0,702413.0,1232303.0
248,False,4,True,233.0,559130.356223176,292307.0022486944,12332.0,369966.0,517953.0,715268.0,1233220.0
248,False,5,True,246.0,534140.9146341464,301729.2746233069,11997.0,383891.0,503857.0,644816.75,1199659.0
248,False,6,True,232.0,547292.8146551724,288576.0062589394,12148.0,364443.0,485924.0,692442.0,1214810.0
248,False,7,False,218.0,571909.7935779816,329831.1983116013,13811.0,414345.0,580083.0,732009.0,1381149.0
249,True,1,True,234.0,407809.8418803419,218396.47519769514,8851.0,256668.0,354025.0,511124.25,885063.0
249,True,2,True,243.0,534653.7489711934,291234.975738555,11615.0,371667.0,499428.0,696876.0,1161460.0
249,True,3,True,226.0,611268.0663716814,336283.7256233096,14001.0,434027.0,602038.0,812051.0,1400087.0
249,True,4,True,235.0,606019.6042553191,323004.69572090276,13609.0,408260.0,544346.0,775694.0,1360866.0
249,True,5,True,229.0,578585.6331877729,337277.4560528582,13591.0,394131.0,543630.0,706719.0,1359074.0
249,True,6,True,258.0,634558.5581395349,348156.2005563078,14207.0,426196.0,582468.0,806221.25,1420654.0
249,True,7,True,265.0,654070.0679245283,355524.26664504263,14774.0,457994.0,605734.0,901214.0,1477400.0
249,True,8,True,237.0,649225.6793248946,371112.60521220276,13591.0,434920.0,570832.0,856249.0,1359125.0
249,True,9,True,242.0,690186.8140495868,352499.62344073725,14137.0,494785.0,650289.0,876476.0,1413671.0
249,True,10,True,247.0,656724.6882591093,384198.1580869149,14935.0,448055.0,627278.0,843837.5,1493518.0
250,True,1,True,239.0,429533.3179916318,223975.40598324774,8851.0,256668.0,398278.0,584142.0,885063.0
250,True,2,True,227.0,521262.5374449339,282083.51481727115,10808.0,329646.0,475554.0,675504.0,1080806.0
